,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_1,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,unidentified,FOTU_1,Ramularia,FOTU_1_Ramularia
FOTU_2,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,FOTU_2,Vishniacozyma_tephrensis,FOTU_2_Vishniacozyma_tephrensis
FOTU_3,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,unidentified,FOTU_3,Epicoccum,FOTU_3_Epicoccum
FOTU_4,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,cladosporioides,FOTU_4,Cladosporium_cladosporioides,FOTU_4_Cladosporium_cladosporioides
FOTU_5,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,heimaeyensis,FOTU_5,Vishniacozyma_heimaeyensis,FOTU_5_Vishniacozyma_heimaeyensis
FOTU_6,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unidentified,unidentified,FOTU_6,Didymellaceae,FOTU_6_Didymellaceae
FOTU_7,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,alba,FOTU_7,Bullera_alba,FOTU_7_Bullera_alba
FOTU_8,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,unidentified,unidentified,FOTU_8,Mycosphaerellaceae,FOTU_8_Mycosphaerellaceae
FOTU_9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,tenuissima,FOTU_9,Alternaria_tenuissima,FOTU_9_Alternaria_tenuissima
FOTU_10,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,glomerata,FOTU_10,Didymella_glomerata,FOTU_10_Didymella_glomerata
FOTU_11,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unidentified,unidentified,FOTU_11,Didymellaceae,FOTU_11_Didymellaceae
FOTU_12,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,oryzicola,FOTU_12,Symmetrospora_oryzicola,FOTU_12_Symmetrospora_oryzicola
FOTU_13,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock1,FOTU_13,mock1,FOTU_13_Mock_mock1
FOTU_14,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,unidentified,unidentified,FOTU_14,Filobasidiaceae,FOTU_14_Filobasidiaceae
FOTU_15,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_15,Fungi,FOTU_15_Fungi
FOTU_16,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock10,FOTU_16,mock10,FOTU_16_Mock_mock10
FOTU_17,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,unidentified,FOTU_17,Paraphoma,FOTU_17_Paraphoma
FOTU_18,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock8,FOTU_18,mock8,FOTU_18_Mock_mock8
FOTU_19,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock7,FOTU_19,mock7,FOTU_19_Mock_mock7
FOTU_20,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_20,unidentified,FOTU_20_unidentified
FOTU_21,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_21,Ascomycota,FOTU_21_Ascomycota
FOTU_22,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_22,unidentified,FOTU_22_unidentified
