OTU_ID,C112CT1,C112CT2,C112CT3,C112CT4,C112CT5,C112CT6,F112CT1,F112CT2,F112CT3,F112CT4,F112CT5,F112CT6,C119CT1,C119CT2,C119CT3,C119CT4,C119CT5,C119CT6,F119CT1,F119CT2,F119CT3,F119CT4,F119CT5,F119CT6,C120FT1,C120FT2,C120FT3,C120FT4,C120FT5,C120FT6,F120FT1,F120FT2,F120FT3,F120FT5,F120FT6,C120GT1,C120GT2,C120GT3,C120GT4,C120GT5,C120GT6,F120GT1,F120GT2,F120GT3,F120GT4,F120GT5,F120GT6,C122DT1,C122DT2,C122DT3,C122DT4,C122DT5,C122DT6,F122DT1,F122DT2,F122DT3,F122DT4,F122DT5,F122DT6,C123HT1,C123HT2,C123HT3,C123HT4,C123HT5,C123HT6,F123HT1,F123HT2,F123HT3,F123HT4,F123HT5,F123HT6,C125HT1,C125HT2,C125HT3,C125HT4,C125HT5,C125HT6,F125HT1,F125HT2,F125HT3,F125HT4,F125HT5,F125HT6,C126ET1,C126ET2,C126ET3,C126ET4,C126ET5,C126ET6,F126ET1,F126ET2,F126ET3,F126ET4,F126ET5,F126ET6,C126FT1,C126FT2,C126FT3,C126FT4,C126FT5,C126FT6,F126FT1,F126FT2,F126FT3,F126FT4,F126FT5,F126FT6,C129DT1,C129DT2,C129DT3,C129DT4,C129DT5,C129DT6,F129DT1,F129DT2,F129DT3,F129DT4,F129DT5,F129DT6,C130BT1,C130BT2,C130BT3,C130BT4,C130BT5,C130BT6,F130BT1,F130BT2,F130BT3,F130BT5,F130BT6,C132BT1,C132BT2,C132BT3,C132BT4,C132BT5,C132BT6,F132BT1,F132BT2,F132BT3,F132BT4,F132BT5,F132BT6,A112CC,A112CF,A115GC,A115GF,A119FC,A119FF,A119GC,A119GF,A120FC,A120FF,A120GC,A120GF,A122DC,A122DF,A126EC,A126EF,A126GC,A126GF,A129DC,A129DF,A130BC,A130BF,A132BC,A132BF,B1AST1,B1AST3,B1AST5,B1BST1,B1BST3,B1BST5,B2AST1,B2AST3,B2AST5,B2BST1,B2BST3,B2BST5,B3AST1,B3AST3,B3AST5,B3BST1,B3BST3,B3BST5,J112CC,J112CF,J115GC,J115GF,J119CC,J119CF,J120FC,J120FF,J120GC,J120GF,J122DC,J122DF,J126GC,J126GF,J129DC,J129DF,J130BC,J130BF,J132BC,J132BF,J2112CC,J2112CF,J2115GC,J2115GF,J2119CC,J2119CF,J2119GC,J2119GF,J2120FC,J2120FF,J2120GC,J2120GF,J2122DC,J2122DF,J2126GC,J2126GF,J2129DC,J2129DF,J2130BC,J2130BF,J2132BC,J2132BF,J3112CC,J3112CF,J3115GC,J3115GF,J3119CC,J3119CF,J3119GC,J3119GF,J3120FC,J3120FF,J3120GC,J3120GF,J3126GC,J3126GF,J3129DC,J3129DF,J3130BC,J3130BF,J3132BC,J3132BC2,JL112CC,JL112CF,JL115GC,JL115GF,JL119CC,JL119CF,JL119GC,JL119GF,JL120BC,JL120FC,JL120FF,JL120GC,JL120GF,JL122DC,JL122DF,JL126GC,JL126GF,JL129DC,JL129DF,JL130BF,JL132BC,JL132BF,M1112CC,M1112CF,M1115GC,M1115GF,M1119CC,M1119CF,M1119GC,M1119GF,M1120FC,M1120FF,M1120GC,M1120GF,M1122DC,M1122DF,M1126EF1,M1126EF2,M1126GC,M1126GF,M1129DC,M1129DF,M1130BC,M1130BF,M1132BC,M1132BF,M3112CC,M3112CF,M3115GC,M3115GF,M3119FC,M3119FF,M3119GC,M3119GF,M3120FC,M3120FF,M3120GC,M3120GF,M3122DC,M3122DF,M3126GC,M3126GF,M3129DC,M3129DF,M3130BC,M3130BF,M3132BC,M3132BF,N112CC,N112CF,N115GC,N115GF,N119CF,N119GF,N120FC,N120FF,N120GC,N120GF,N122DC,N122DF,N126EF,N126GC,N126GF,N129DF,N130BC,N130BF,N132BC,N132BF,NB1AST1,NB1AST3,NB1AST5,NB1BST1,NB1BST3,NB1BST5,NB2AST1,NB2AST3,NB2AST5,NB2BST1,NB2BST3,NB2BST5,NB3AST1,NB3AST3,NB3AST5,NB3BST1,NB3BST3,NB3BST5,NC11,NC12,NC13,NC14,NC15,NC17,NC18,NC19,NC20,NECT1,NECT2,NECT3,NECT4,NECT6,NTCT5,P1H12NTC,P2H10NTC,P2H11NTC,P2H12NTC,P2H6NTC,PC1,PC2_2,PC3_2,PC4,U112CC,U112CF,U115GF,U119CC,U119CF,U119GC,U119GF,U120FC,U120FF,U120GC,U120GF,U122DC,U122DF,U126EC,U126EF,U126GC,U126GF,U129DC,U129DF,U130BC,U130BF,U132BC,U132BF,WNC1
FOTU_1,14182,35503,9554,18024,22363,16045,5154,15622,14648,13652,9429,13618,12013,35093,15724,15514,12427,29053,15057,25599,16849,17437,11493,13336,3949,29955,12310,23700,12954,12451,3222,17384,7279,4230,22399,15596,20582,25252,14410,29341,17459,7375,11528,6201,6408,14856,19486,15480,25131,23246,31853,18,18947,3805,14374,11456,4507,17007,21042,4796,8753,9788,21814,16549,11847,7438,21131,3074,2338,3429,7019,16200,37496,39918,24520,23744,14725,1319,11236,25190,3504,23204,8705,14334,19969,11442,35255,23719,23960,1663,13165,10409,21150,5996,19360,6289,16020,19842,11774,17447,18872,6416,14103,15342,9351,13762,21299,10428,15625,17114,18834,20672,19743,14300,20462,17554,12162,12566,8106,13857,26959,17000,10402,16639,13497,7233,17190,20992,25403,5227,19322,37934,13414,21712,18993,16532,7943,28400,27312,8313,4369,11281,42770,20045,38840,15472,31525,22109,13545,14671,22214,15575,32699,56619,31946,23594,4058,25282,17026,11166,17636,34098,27186,24937,37179,21481,272,821,5820,308,548,3147,10,456,1455,166,615,868,1337,142,3115,6,743,2203,43397,42123,31453,36542,20625,40082,43179,41734,22361,29400,29980,23240,39763,51176,45866,20595,32807,7458,35771,29553,14140,33933,29611,22854,13971,21012,22069,19557,20685,20244,20949,17489,14119,5929,27620,15720,15897,19638,11240,11097,12567,23066,16364,6954,14379,34780,16716,22503,13862,22653,11430,11928,15620,18768,17143,15613,21663,13953,12090,13083,15822,26798,13185,30359,18943,32440,8492,7182,17870,21817,22258,16902,17328,12769,32074,14209,15543,21923,13876,25785,15252,26071,23654,31866,43315,11161,11488,14387,9064,15864,20800,15454,14604,8284,16928,9466,9203,9180,10952,18997,15238,15416,14592,12285,14256,7661,9682,15648,25316,13255,16057,23031,15197,12834,18049,24854,23098,27029,31149,32308,18950,15873,27580,14352,9418,12569,20641,16433,26004,25381,42334,30018,48850,59949,39492,52306,25564,36890,23363,23143,54913,27657,14039,58817,14386,11300,24761,3128,12884,16323,715,157,2755,225,1023,7182,172,553,1151,157,807,6219,441,778,1158,232,608,81,4,19,11,12,28,53,30,14,27,0,0,5020,0,14941,4422,0,0,2,0,2,33,26,48,12,5592,490,273,80,710,38,72,611,369,300,1239,69,126,120,1304,229,389,1085,6382,2620,5130,3192,1617,7
FOTU_10,336,880,94,749,546,874,420,86,166,1,819,88,2068,327,1281,951,478,837,455,203,119,310,242,244,134,1850,1629,437,2806,2058,189,2390,2146,431,508,104,2982,1494,1900,1876,1199,603,160,196,83,448,162,778,1541,4345,1095,2,1391,118,3427,1946,1010,2197,413,6382,716,139,0,161,63,306,1,2922,250,1,13,688,3119,2648,1435,495,444,730,718,510,722,18,123,274,3745,1422,1471,415,594,231,784,1244,824,2933,526,841,378,901,625,2452,1443,521,115,3454,1198,59,1126,669,13290,863,1116,1127,1727,1935,130,412,174,477,195,1495,443,924,242,788,1030,792,830,386,118,184,661,619,589,1086,1292,576,1706,2479,329,994,465,47,228,195,118,35,28,73,11,3,103,120,214,46,131,90,22,67,4,0,24,101,97,27,153,58,1,88,98,2,202,301,115,0,194,0,441,392,2,31,266,0,90,75,180,0,169,21,67,203,159,0,483,0,119,41,0,0,111,232,290,26,91,0,146,48,205,165,63,26,232,225,216,631,440,12,12,1,16,0,153,19,59,0,32,15,88,12,113,12,210,36,179,39,52,4661,257,17,136,1,0,33,51,0,55,80,42,37,43,16,126,13,138,23,346,107,51,61,4,169,30,23,0,0,19,10,3,0,1454,488,53,248,34,9,363,28,43,276,9,261,119,64,278,27,76,0,191,9,600,40,145,41,166,76,127,688,110,181,1996,235,545,322,393,32,199,104,35,8,124,50,188,267,151,402,1,66,11,0,0,52,5,1,9,0,3,0,0,0,0,48,0,0,0,0,0,32,6,441,161,170,1,67,567,285,106,310,389,322,44,17,74,199,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,101,0,170,29,189,29,0,0,22,0,121,33,22,0,0,0,311,0,0,3,642,202,0,0
FOTU_100,436,0,0,0,27,0,0,20,0,0,0,10,0,0,0,43,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,110,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,54,1,0,0,0,0,56,0,0,0,0,237,0,0,0,0,0,0,35,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,26,0,1,4,0,61,0,0,0,0,18,5,1,99,0,0,0,0,0,0,1,0,0,0,1,0,0,65,0,1,0,0,50,0,0,13,0,0,0,24,0,0,0,0,0,0,8,152,0,0,0,0,14,0,0,17,0,0,0,12,0,0,0,0,0,0,0,38,6,0,0,0,0,0,146,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,2,1,0,0,0,46,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,0,14,0,37,0,17,0,0,9,3,14,4,0,39,0,10,2,5,12,17,6,1,49,94,414,23,0,62,0,0,0,46,0,0,0,0,0,0,0,15,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,35,0,1,0,0,1,0,0,0,0,31,0,111,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1001,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1002,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1004,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
